TABLE_NAME	COLUMN_NAME
AFRATE0016	APPAGE
AFRATE0016	PAYENDYEAR
AFRATE0016	INSUYEARFLAG
AFRATE0016	INSUYEAR
AFRATE0016	PAYINTV
AFRATE0016	SEX
AFRATE0017	ADDFEEPOINT
AFRATE0017	APPAGE
AFRATE0017	PAYENDYEAR
AFRATE0017	INSUYEAR
AFRATE0017	PAYINTV
AFRATE0017	SEX
AFRATE0022	ADDFEEPOINT
AFRATE0022	APPAGE
AFRATE0022	PAYENDYEAR
AFRATE0022	INSUYEARFLAG
AFRATE0022	INSUYEAR
AFRATE0022	PAYINTV
AFRATE0022	SEX
AFRATE0023	ADDFEEPOINT
AFRATE0023	APPAGE
AFRATE0023	PAYENDYEAR
AFRATE0023	INSUYEARFLAG
AFRATE0023	INSUYEAR
AFRATE0023	PAYINTV
AFRATE0023	SEX
AFRATE0024	ADDFEEPOINT
AFRATE0024	APPAGE
AFRATE0024	PAYENDYEAR
AFRATE0024	INSUYEARFLAG
AFRATE0024	INSUYEAR
AFRATE0024	PAYINTV
AFRATE0024	SEX
AFRATE0025	ADDFEEPOINT
AFRATE0025	APPAGE
AFRATE0025	PAYENDYEAR
AFRATE0025	PAYINTV
AFRATE0025	SEX
AFRATE0026	ADDFEEPOINT
AFRATE0026	APPAGE
AFRATE0026	PAYENDYEAR
AFRATE0026	PAYINTV
AFRATE0026	SEX
AFRATE0027	ADDFEEPOINT
AFRATE0027	APPAGE
AFRATE0027	PAYENDYEAR
AFRATE0027	INSUYEARFLAG
AFRATE0027	INSUYEAR
AFRATE0027	PAYINTV
AFRATE0027	SEX
AFRATE0028	GETSTARTYEAR
AFRATE0028	ADDFEEPOINT
AFRATE0028	APPAGE
AFRATE0028	PAYENDYEAR
AFRATE0028	INSUYEARFLAG
AFRATE0028	INSUYEAR
AFRATE0028	PAYINTV
AFRATE0028	SEX
AFRATE0029	ADDFEEPOINT
AFRATE0029	APPAGE
AFRATE0029	PAYENDYEARFLAG
AFRATE0029	PAYENDYEAR
AFRATE0029	PAYINTV
AFRATE0029	SEX
AFRATE0030	ADDFEEPOINT
AFRATE0030	APPAGE
AFRATE0030	PAYENDYEAR
AFRATE0030	INSUYEARFLAG
AFRATE0030	INSUYEAR
AFRATE0030	PAYINTV
AFRATE0030	SEX
AFRATE0031	ADDFEEPOINT
AFRATE0031	APPAGE
AFRATE0031	PAYENDYEAR
AFRATE0031	INSUYEARFLAG
AFRATE0031	INSUYEAR
AFRATE0031	PAYINTV
AFRATE0031	SEX
AFRATE0032	ADDFEEPOINT
AFRATE0032	APPAGE
AFRATE0032	PAYENDYEAR
AFRATE0032	INSUYEARFLAG
AFRATE0032	INSUYEAR
AFRATE0032	PAYINTV
AFRATE0032	SEX
AFRATE202020	APPAGE
AFRATE202020	PAYENDYEAR
AFRATE202020	INSUYEARFLAG
AFRATE202020	INSUYEAR
AFRATE202020	SEX
AFRATE202020	EM
AFRATE206020	APPAGE
AFRATE206020	PAYENDYEAR
AFRATE206020	INSUYEAR
AFRATE206020	SEX
AFRATE206020	EM
AFRATE206050	APPAGE
AFRATE206050	PAYENDYEAR
AFRATE206050	INSUYEAR
AFRATE206050	SEX
AFRATE206050	EM
AFRATE206060	APPAGE
AFRATE206060	PAYENDYEAR
AFRATE206060	INSUYEAR
AFRATE206060	SEX
AFRATE206060	EM
AFRATE211010	SEX
AFRATE211010	PAYENDYEAR
AFRATE211010	APPAGE
AFRATE211010	EM
AFRATE213010	APPAGE
AFRATE213010	PAYENDYEAR
AFRATE213010	INSUYEAR
AFRATE213010	SEX
AFRATE213010	EM
AFRATE213110	APPAGE
AFRATE213110	PAYENDYEAR
AFRATE213110	INSUYEAR
AFRATE213110	SEX
AFRATE213110	EM
AGENTPOLICYRESULT	STANDBYFLAG1
AGENTPOLICYRESULT	AGENTCODE
AGENTREPORTPARAM	SN
AGENTREPORTSQL	SN
AGT_CODE	AGT_CODE
AGT_ORG_TYPE_TBL	A
AI_107_75	DURATION
AI_107_75	PAYENDYEAR
AI_107_75	AGE
AI_107_75	SEX
AMT_TYPE_TBL	AM
ASKPRICEINFO	ASKNO
ASKPRICEINFO	ASKPRICENO
ASKPRICEINFOB	EDORTYPE
ASKPRICEINFOB	EDORNO
ASKPRICERADIO	RISKCODE
ASKPRICERADIO	ASKNO
ASKPRICERADIO	ASKPRICENO
ASKPRICERADIOB	EDORNO
ASKPRICERADIOB	RISKCODE
ASKPRICERADIOB	ASKNO
ASKPRICERADIOB	ASKPRICENO
ASKPRICERATING	RISKRATING
ASKPRICERATING	ASKNO
ASKPRICERATING	ASKPRICENO
ASKPRICERATINGB	EDORNO
ASKPRICERATINGB	RISKRATING
ASKPRICERATINGB	ASKNO
ASKPRICERATINGB	ASKPRICENO
ASKPRICERISK	RISKCODE
ASKPRICERISK	ASKNO
ASKPRICERISK	ASKPRICENO
ASKPRICERISKB	EDORNO
ASKPRICERISKB	RISKCODE
ASKPRICERISKB	ASKNO
ASKPRICERISKB	ASKPRICENO
ASSESSPROPERTYCONFIG	BRANCHTYPE
ASSESSPROPERTYCONFIG	ASSESSPROPERTY
BANC_SPECI_INFO	BANC_SPECI_NO
BANKTOINSURER	CONTNO
BANKTOINSURERLOG	ID
BANKTOINSURERVIDEO	VIDEONAME
BANKTOINSURERVIDEO	CONTNO
BDDJ3LOG	MAKETIME
BDDJ3LOG	MAKEDATE
BDDJ3LOG	PUSHDATE
BDDJ3LOG	FILENAME
BILL_CODE_INFO	BILL_CODE
BILL_INFO	PRINT_NO
BILL_INFO	BILL_CODE
BILL_STATUS_CODE	P
BILL_TYPE_CODE	P
BIN$kLAEioCER3HgUwEAAH97jg==$0	CODE
BIN$kZMAuCMRVhjgUwEAAH9FWw==$0	A
BIN$kjMU+fcIWbzgUwEAAH8ylQ==$0	ACCOUNT_CODE
BIN$kjMU+fcNWbzgUwEAAH8ylQ==$0	START_TIME
BIN$kjMU+fcNWbzgUwEAAH8ylQ==$0	ACCOUNT_CODE
BIN$lI4O825MHvPgUwEAAH8nTA==$0	STAFF_NO
BIN$lWhfzHtdEvvgUwEAAH+Duw==$0	CODE1
BIN$lWhfzHtdEvvgUwEAAH+Duw==$0	CODE
BIN$lWhfzHtdEvvgUwEAAH+Duw==$0	CODETYPE
BIN$mGOIYMSiOZLgUwEAAH9h0A==$0	AGENTCOM
BIN$mGOIYMSiOZLgUwEAAH9h0A==$0	POLNO
BIN$mGOIYMSiOZLgUwEAAH9h0A==$0	CONTNO
BIN$mGOIYMSiOZLgUwEAAH9h0A==$0	ACTUGETNO
BIN$mHfeCp1pZpfgUwEAAH+eJg==$0	AGENTCOM
BIN$mHfeCp1pZpfgUwEAAH+eJg==$0	POLNO
BIN$mHfeCp1pZpfgUwEAAH+eJg==$0	CONTNO
BIN$mHfeCp1pZpfgUwEAAH+eJg==$0	ACTUGETNO
BIN$mHfeCp2QZpfgUwEAAH+eJg==$0	POLNO
BIN$mHfeCp2QZpfgUwEAAH+eJg==$0	CONTNO
BIN$mHfeCp2QZpfgUwEAAH+eJg==$0	FEETYPE
BIN$mHfeCp2QZpfgUwEAAH+eJg==$0	TRANSTYPE
BONUSRATE111	CURYEAR
BONUSRATE111	PAYENDYEAR
BONUSRATE111	INSUYEAR
BONUSRATE111	APPAGE
BONUSRATE113040	CURYEAR
BONUSRATE113040	APPAGE
BONUSRATE113040	PAYENDYEAR
BONUSRATE113040	INSUYEAR
BONUSRATE113040	SEX
BONUSRATE113040	BONUSYEAR
BONUSRATE114010	CURYEAR
BONUSRATE114010	APPAGE
BONUSRATE114010	PAYENDYEARFLAG
BONUSRATE114010	PAYENDYEAR
BONUSRATE114010	INSUYEAR
BONUSRATE114010	SEX
BONUSRATE114010	BONUSYEAR
BONUSRATE120	CURYEAR
BONUSRATE120	INSUYEAR
BONUSRATE120	PAYENDYEAR
BONUSRATE120	APPAGE
BONUSRATE206020	CURYEAR
BONUSRATE206020	APPAGE
BONUSRATE206020	PAYENDYEAR
BONUSRATE206020	INSUYEAR
BONUSRATE206020	SEX
BONUSRATE206020	BONUSYEAR
BONUSRATE210	PAYINTV
BONUSRATE210	PAYENDYEARFLAG
BONUSRATE210	PAYENDYEAR
BONUSRATE210	SEX
BONUSRATE210	APPAGE
BONUSRATE210	POLYEAR
BONUSRATE210	BONUSYEAR
BONUSRATE211010	SEX
BONUSRATE211010	PAYENDYEAR
BONUSRATE211010	POLYEAR
BONUSRATE211010	APPAGE
BONUSRATE211010	BONUSYEAR
BONUSRATE213010	CURYEAR
BONUSRATE213010	APPAGE
BONUSRATE213010	PAYENDYEAR
BONUSRATE213010	INSUYEAR
BONUSRATE213010	SEX
BONUSRATE213010	BONUSYEAR
BONUSRATE213030	CURYEAR
BONUSRATE213030	APPAGE
BONUSRATE213030	PAYINTV
BONUSRATE213030	PAYENDYEARFLAG
BONUSRATE213030	PAYENDYEAR
BONUSRATE213030	INSUYEAR
BONUSRATE213030	SEX
BONUSRATE213030	BONUSYEAR
BONUSRATE213110	CURYEAR
BONUSRATE213110	APPAGE
BONUSRATE213110	PAYENDYEAR
BONUSRATE213110	INSUYEAR
BONUSRATE213110	SEX
BONUSRATE213110	BONUSYEAR
BONUSRATE214010	CURYEAR
BONUSRATE214010	APPAGE
BONUSRATE214010	PAYENDYEARFLAG
BONUSRATE214010	PAYENDYEAR
BONUSRATE214010	INSUYEAR
BONUSRATE214010	SEX
BONUSRATE214010	BONUSYEAR
BPOALLOTRATE	ALLOTTYPE
BPOALLOTRATE	MANAGECOM
BPOALLOTRATE	BPOID
BPOCHECKCALMODE	BPOID
BPOERRLOG	ERRCODE
BPOERRLOG	ERRVER
BPOERRLOG	BUSSNOTYPE
BPOERRLOG	BUSSNO
BPOMISSIONDETAILERROR	SERIALNO
BPOMISSIONDETAILERROR	ERRORCOUNT
BPOMISSIONDETAILERROR	BUSSNOTYPE
BPOMISSIONDETAILERROR	BUSSNO
BPOMISSIONDETAILSTATE	DEALTYPE
BPOMISSIONDETAILSTATE	DEALCOUNT
BPOMISSIONDETAILSTATE	BUSSNOTYPE
BPOMISSIONDETAILSTATE	BUSSNO
BPOMISSIONSTATE	DEALTYPE
BPOMISSIONSTATE	BUSSNOTYPE
BPOMISSIONSTATE	BUSSNO
BPORISKPLAN	PLANFACTOR
BPORISKPLAN	PLANNAME
BPORISKPLAN	RISKCODE
BPOSERVERINFO	BPOID
BRANCH_INFO	BRANCH_CODE
BUSI_SRC_TYPE_TBL	B
BUSSINESSTOADDTAX	SERIALNO
BUSSTOADDTAXSEP	SERIALNO
BUSTOADDTAXLOG	SERIALNO
BX_POLS_NONAMW	POLNO
B_BANK	SERIALNO
CALAUDITDEFINE	SERIALNO
CALLBACKUP	SERIALNO
CARDERRLOG	SERIALNO
CASHVALUE101	CURYEAR
CASHVALUE101	APPAGE
CASHVALUE101	INSUYEAR
CASHVALUE101	SEX
CASHVALUE106010	CURYEAR
CASHVALUE106010	APPAGE
CASHVALUE106010	PAYENDYEAR
CASHVALUE106010	INSUYEAR
CASHVALUE106010	SEX
CASHVALUE106020	CURYEAR
CASHVALUE106020	APPAGE
CASHVALUE106020	PAYENDYEAR
CASHVALUE106020	INSUYEAR
CASHVALUE106020	SEX
CASHVALUE111	CURYEAR
CASHVALUE111	PAYENDYEAR
CASHVALUE111	INSUYEAR
CASHVALUE111	APPAGE
CASHVALUE113040	CURYEAR
CASHVALUE113040	APPAGE
CASHVALUE113040	PAYENDYEAR
CASHVALUE113040	INSUYEAR
CASHVALUE113040	SEX
CASHVALUE114010	CURYEAR
CASHVALUE114010	APPAGE
CASHVALUE114010	PAYENDYEARFLAG
CASHVALUE114010	PAYENDYEAR
CASHVALUE114010	INSUYEAR
CASHVALUE114010	SEX
CASHVALUE202020	CURYEAR
CASHVALUE202020	APPAGE
CASHVALUE202020	PAYENDYEAR
CASHVALUE202020	INSUYEARFLAG
CASHVALUE202020	INSUYEAR
CASHVALUE202020	SEX
CASHVALUE206010	CURYEAR
CASHVALUE206010	APPAGE
CASHVALUE206010	PAYENDYEAR
CASHVALUE206010	INSUYEAR
CASHVALUE206010	SEX
CASHVALUE206020	CURYEAR
CASHVALUE206020	APPAGE
CASHVALUE206020	PAYENDYEAR
CASHVALUE206020	INSUYEAR
CASHVALUE206020	SEX
CASHVALUE206050	CURYEAR
CASHVALUE206050	APPAGE
CASHVALUE206050	PAYENDYEAR
CASHVALUE206050	INSUYEAR
CASHVALUE206050	SEX
CASHVALUE206060	CURYEAR
CASHVALUE206060	APPAGE
CASHVALUE206060	PAYENDYEAR
CASHVALUE206060	INSUYEAR
CASHVALUE206060	SEX
CASHVALUE210	CURYEAR
CASHVALUE210	INSUYEAR
CASHVALUE210	PAYENDYEAR
CASHVALUE210	APPAGE
CASHVALUE211010	SEX
CASHVALUE211010	PAYENDYEAR
CASHVALUE211010	CURYEAR
CASHVALUE211010	APPAGE
CASHVALUE213010	CURYEAR
CASHVALUE213010	APPAGE
CASHVALUE213010	PAYENDYEAR
CASHVALUE213010	INSUYEAR
CASHVALUE213010	SEX
CASHVALUE213030	CURYEAR
CASHVALUE213030	APPAGE
CASHVALUE213030	PAYINTV
CASHVALUE213030	PAYENDYEARFLAG
CASHVALUE213030	PAYENDYEAR
CASHVALUE213030	INSUYEAR
CASHVALUE213030	SEX
CASHVALUE213110	CURYEAR
CASHVALUE213110	APPAGE
CASHVALUE213110	PAYENDYEAR
CASHVALUE213110	INSUYEAR
CASHVALUE213110	SEX
CASHVALUE214010	CURYEAR
CASHVALUE214010	APPAGE
CASHVALUE214010	PAYENDYEARFLAG
CASHVALUE214010	PAYENDYEAR
CASHVALUE214010	INSUYEAR
CASHVALUE214010	SEX
CASHVALUE240	CURYEAR
CASHVALUE240	INSUYEAR
CASHVALUE240	PAYENDYEAR
CASHVALUE240	PAYINTV
CASHVALUE240	SEX
CASHVALUE240	APPAGE
CASHVALUE303010	CURYEAR
CASHVALUE303010	APPAGE
CASHVALUE303010	PAYENDYEAR
CASHVALUE303010	INSUYEAR
CASHVALUE303010	SEX
CASHVALUE306020	CURYEAR
CASHVALUE306020	APPAGE
CASHVALUE306020	PAYENDYEAR
CASHVALUE306020	INSUYEAR
CASHVALUE306020	SEX
CCCONTVISITSTATE	CONTNO
CCSERVICELOG	LOGNO
CHECKRULE	REGULARTYPE
CHECKRULE	CALCODE
CHECKRULE	CLMNO
CHECKRULE	BATCHNO
CIRP_EXTRACT_LOG	SERIALNO
CLAIM_MAIN	CLAIM_MAIN_ID
CLAIM_REPORT	CLAIM_REPORT_ID
COLLECTPAY_CODE	P
COMTOBANK	ACCNO
COMTOBANK	BANKCODE
COMTOBANK	COMCODE
COMTOISCCOM	COMCODEISC
COMTOISCCOM	COMCODE
CONTPRINTFIRSTPOLFILTER	CONTNO
COVERAGE_TYPE_CODE_TBL	ZR_CODE
CPDYTRANLOG	TRANNO
CRS_FILE_LOG	ID
CRS_FIX_TAB	DUEDILIGENCEIND
CRS_FIX_TAB	DOCTYPEINDIC
CRS_FIX_TAB	MESSAGETYPEINDIC
CRS_FIX_TAB	GET_YEAR
CRS_FIX_TAB	CORRDOCREFID
CRS_FIX_TAB	ACCOUNTNUMBER
CRS_MID_TAB_INV	DOCREFID
CRS_MID_TAB_INV	DUEDILIGENCEIND
CRS_MID_TAB_INV	ACCOUNTNUMBER
CRS_MID_TAB_INV	MESSAGETYPEINDIC
CRS_MID_TAB_INV	GET_YEAR
CRS_MID_TAB_INV	ENABLEFLAG
CRS_MID_TAB_INV	MESSAGEREFID
CRS_MID_TAB_ORG	DOCREFID
CRS_MID_TAB_ORG	DUEDILIGENCEIND
CRS_MID_TAB_ORG	ACCOUNTNUMBER
CRS_MID_TAB_ORG	MESSAGETYPEINDIC
CRS_MID_TAB_ORG	GET_YEAR
CRS_MID_TAB_ORG	ENABLEFLAG
CRS_MID_TAB_ORG	MESSAGEREFID
CRS_PUSH_LOG	ID
CR_ALARMMANAGE	ALARMNO
CR_CALCONFIG	CALCONFIGID
CR_CLIENT	CLIENTNO
CR_CLIENTNEEDAUDIT	CLIENTNO
CR_CLIENTSPECIALRULE	ITEMCODE
CR_CLIENTSPECIALRULE	CLIENTNO
CR_CUSGRADECONFIG	CONFIGID
CR_CUSTOMER	CUSTOMERNAME
CR_CUSTOMER	CUSTOMERKIND
CR_CUSTOMER	IDENTIFYKIND
CR_CUSTOMER	CONTNO
CR_CUSTOMERB	CUSTOMERNAME
CR_CUSTOMERB	CUSTOMERKIND
CR_CUSTOMERB	IDENTIFYKIND
CR_CUSTOMERB	CONTNO
CR_FACTORCONFIG	CODE
CR_FACTORCONFIG	CODETYPE
CR_GRPAPPNT	IDENTIFYKIND
CR_GRPAPPNT	GRPCONTNO
CR_GRPCUSTOMER	CUSTOMERNAME
CR_GRPCUSTOMER	CUSTOMERKIND
CR_GRPCUSTOMER	CONTNO
CR_GRPCUSTOMER	IDENTIFYKIND
CR_GRPCUSTOMER	GRPCONTNO
CR_ITEMCONFIG	ITEMCODE
CR_ITEMSCORE	ITEMCODE
CR_ITEMSCORE	CLIENTNO
CR_ITEMSCORETRACE	ITEMCODE
CR_ITEMSCORETRACE	CLIENTNO
CR_ITEMSCORETRACE	CONTTYPE
CR_ITEMSCORETRACE	BATCHNO
CR_LDCODEMAPPING	IDCODE
CR_LOSS	LOSSNO
CR_POLICY	POLNO
CR_POLICYTRACE	TRACENO
CR_POLITEMSCORE	ITEMCODE
CR_POLITEMSCORE	CLIENTNO
CR_POLITEMSCORE	POLNO
CR_REL	CUSTYPE
CR_REL	CLIENTNO
CR_REL	POLNO
CR_RISK	RISKPOLNO
CR_RISKALARMCONFIG	ALARMID
CR_RISKBLACKLIST	LISTNO
CR_SPECCUSIMPORTERROR	ROWNO
CR_SPECCUSIMPORTERROR	SERIALNO
CR_SPECIALTRACE	TRACENO
CR_TABLECOLUMNS	COLUMN_NAME
CR_TABLECOLUMNS	TABLECODE
CR_TB_INS_RISK	CR_TB_INS_RISK_NO
CR_TRACE	TRACENO
CR_TRANS	TRANSNO
CSFEE	RISKCODE
CSFEE	ENDDATE
CSFEE	STARTDATE
CSFEE	MAXAMNT
CSFEE	MINAMNT
CSMPMQ	ID
CSMPTRANLOG	LOGNO
CUR_TBL	C_CODE
CUX_LIS_INTERFACE	LIST_ID
CUX_LIS_INTERFACEB	LIST_ID
DBLINKOBJ	ID
DB_FACT_618_20	LEFTPERIOD
DB_FACT_619_20	LEFTPERIOD
DEMO	ENTITYID
DEPARTMENTSVIEWS	ASKNO
DEPARTMENTSVIEWS	ASKPRICENO
DEPARTMENTSVIEWS	CONFIRMINDEX
DT_ALL	RULEID
DT_ALL	ID
DT_TEST_RES	TIMES
DT_TEST_RES	ID
DT_TEST_RES	BATCHID
EDORRATE815	POLYEAR
EDU_DEGREE_CODE	P
EMPLOYEE	ID
ENDO_FEE	ENDO_FEE_ID
ES_DOCMOVE_CONFIG	MANAGECOM
ES_DOCMOVE_CONFIG	TOMANAGECOM
ES_DOCMOVE_LOG	TOMANAGECOM
ES_DOCMOVE_LOG	MANAGECOM
ES_DOCMOVE_LOG	MOVEID
ES_DOCMOVE_LOG	DOCID
ES_DOCMOVE_TASK	TOMANAGECOM
ES_DOCMOVE_TASK	TASKTYPE
ES_DOCMOVE_TASK	TASKCODE
ES_DOCMOVE_TASK	MANAGECOM
ES_DOCMOVE_TASK	MOVEID
ES_DOC_DEF	SUBTYPE
ES_DOC_DEF	BUSSTYPE
ES_DOC_LOG	LOGID
ES_DOC_MAIN	DOCID
ES_DOC_PAGES	PAGEID
ES_DOC_PAGES_B	PAGEID
ES_DOC_PAGES_B	MOVEID
ES_DOC_RELATION	BUSSNO
ES_DOC_RELATION	BUSSNOTYPE
ES_DOC_RELATION	DOCID
ES_ISSUEDOC	ISSUEDOCID
ES_ISSUEDOC	SUBTYPE
ES_ISSUEDOC	BUSSNOTYPE
ES_ISSUEDOC	BUSSNO
ES_MAINTENANCE	SUBTYPE
ES_MAINTENANCE	BUSSNOTYPE
ES_MAINTENANCE	BUSSNO
ES_MAINTENANCE	DOCID
ES_MODIFY_LOG	MAKETIME
ES_MODIFY_LOG	MAKEDATE
ES_MODIFY_LOG	DOC_CODE
ES_PROCESS_DEF	PROCESSCODE
ES_PROCESS_DEF	SERVICETYPE
ES_PROCESS_DEF	SUBTYPE
ES_PROCESS_DEF	BUSSTYPE
ES_SERVER_CONFIG	ORGID
ES_SERVER_INFO	HOSTNAME
EVT_CARRIER_CONFIGURATION	NAME
E_BENEFICIARY	SERIALNO
E_COVERAGE	SERIALNO
E_GRPCOVERAGE	SERIALNO
E_GRPHOLDER	SERIALNO
E_GRPINSURED	SERIALNO
E_GRPUNDERWRITING	SERIALNO
E_HOLDER	SERIALNO
E_INSURED	SERIALNO
E_POLCOVERAGE	SERIALNO
E_POLICY	SERIALNO
E_POLUNDERWRITING	SERIALNO
E_UNDERWRITING	SERIALNO
FIABORIGINALDATA	ASERIALNO
FIABORIGINALDATAB	DELSERIALNO
FIABORIGINALDATAFORDEAL	SERIALNO
FIABORIGINALDATATEMP	ASERIALNO
FIASSOCIATEDDIRECTITEMDEF	COLUMNID
FIASSOCIATEDDIRECTITEMDEF	VERSIONNO
FIASSOCIATEDITEMDEF	ASSOCIATEDID
FIASSOCIATEDITEMDEF	VERSIONNO
FIBUSINESSRULEDEALERRLOG	ERRSERIALNO
FIBUSINESSRULEDEALLOG	CHECKSERIALNO
FIBUSINESSRULEDEF	RULEID
FIBUSINESSRULEDEF	VERSIONNO
FICERTIFICATETYPEDEF	CERTIFICATEID
FICERTIFICATETYPEDEF	VERSIONNO
FICODETRANS	CODE
FICODETRANS	CODETYPE
FICOSTDATAACQUISITIONDEF	ACQUISITIONID
FICOSTDATAACQUISITIONDEF	VERSIONNO
FICOSTDATABASEDEF	DATABASEID
FICOSTDATABASEDEF	ACQUISITIONID
FICOSTDATABASEDEF	VERSIONNO
FICOSTDATAKEYDEF	KEYID
FICOSTDATAKEYDEF	ACQUISITIONID
FICOSTDATAKEYDEF	VERSIONNO
FICOSTTYPEDEF	COSTID
FICOSTTYPEDEF	VERSIONNO
FICUSTOMERACC	INSUACCNO
FICUSTOMERACCTRACE	SEQUENCE
FICUSTOMERACCTRACEBAKE	SEQUENCE
FICUSTOMERACCTYPE	ACCNO
FIDATABASELINK	INTERFACECODE
FIDATADEALERR	EEESERIALNO
FIDATADEALRULESDEF	PROCESSID
FIDATADEALRULESDEF	DATATYPE
FIDATADEALRULESDEF	VERSIONNO
FIDATADEALTYPEDEF	DATATYPE
FIDATADEALTYPEDEF	VERSIONNO
FIDATADISTILLEDINFO	KEYUNIONVALUE
FIDATADISTILLEDINFO	ACQUISITIONID
FIDATAFEEBACKAPP	APPNO
FIDATAFORDEALDISTILLEDINFO	KEYUNIONVALUE
FIDATAFORDEALDISTILLEDINFO	ACQUISITIONID
FIDATATRANSGATHER	FSERIALNO
FIDATATRANSRESULT	FSERIALNO
FIDETAILFINITEMCODE	LEVELCONDITIONVALUE
FIDETAILFINITEMCODE	JUDGEMENTNO
FIDETAILFINITEMCODE	FINITEMID
FIDETAILFINITEMCODE	VERSIONNO
FIDETAILFINITEMDEF	JUDGEMENTNO
FIDETAILFINITEMDEF	FINITEMID
FIDETAILFINITEMDEF	VERSIONNO
FIFINITEMDEF	FINITEMID
FIFINITEMDEF	VERSIONNO
FIINFOFINITEMASSOCIATED	ASSOCIATEDID
FIINFOFINITEMASSOCIATED	FINITEMID
FIINFOFINITEMASSOCIATED	VERSIONNO
FININTERFACE	FINDATE
FININTERFACE	ITEMCODE
FININTERFACE	FINCOMCODE
FINISHRATE	AGENTCODE
FINISHRATE	YEARMONTH
FIOPERATIONLOG	EVENTNO
FIOPERATIONPARAMETER	PARAMETERTYPE
FIOPERATIONPARAMETER	EVENTNO
FIPERIODMANAGEMENT	MONTH
FIPERIODMANAGEMENT	YEAR
FIRULEDEALERRLOG	ERRSERIALNO
FIRULEDEALLOG	CHECKSERIALNO
FIRULEDEF	RULEID
FIRULEDEF	VERSIONNO
FIRULEPLANDEF	RULESPLANID
FIRULEPLANDEF	VERSIONNO
FIRULEPLANDEFDETAIL	RULEID
FIRULEPLANDEFDETAIL	RULEPLANID
FIRULEPLANDEFDETAIL	VERSIONNO
FIRULESVERSION	VERSIONNO
FIRULESVERSIONTRACE	MAINTENANCENO
FITABLECOLUMNDEF	COLUMNID
FITABLECOLUMNDEF	TABLEID
FOREFEERATE	CURYEAR
FOREFEERATE	PAYYEARS
FOREFEERATE	PAYINTV
FOREFEERATE	RISKCODE
FRATE121010	SEX
FRATE121010	APPAGE
FRATE121020	SEX
FRATE121020	APPAGE
FRATE123040	SEX
FRATE123040	APPAGE
FRATE123050	SEX
FRATE123050	APPAGE
FRATE123060	SEX
FRATE123060	APPAGE
FRATE123070	SEX
FRATE123070	APPAGE
FRATE123080	SEX
FRATE123080	APPAGE
FRATE220011	SEX
FRATE220011	APPAGE
FRATE221010	SEX
FRATE221010	APPAGE
FRATE221020	SEX
FRATE221020	APPAGE
FRATE221030	SEX
FRATE221030	APPAGE
FRATE328010	SEX
FRATE328010	APPAGE
FRATE328020	SEX
FRATE328020	APPAGE
FUBATCHLOG	LOGNO
GC_CLAIM	SERIALNO
GC_CLAIMCANCEL	SERIALNO
GC_COVERAGE	SERIALNO
GC_DISEASE	SERIALNO
